player_name,player_id,season,poss,mp,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Joel Anthony,anthojo01,2010,2648,1401,-3.650374827,1.634908606,-2.015466221,0.52569772,0.299222474,0.226475246,-3.908087811,0.997009448,-2.911078362,-0.419157872
Gilbert Arenas,arenagi01,2010,2256,1169,1.723395307,-0.825212183,0.898183124,2.186114659,2.186114659,0,2.292918448,-0.282686075,2.010232372,0.44225439
Trevor Ariza,arizatr01,2010,5208,2629,0.090508014,0.983800946,1.074308961,5.141775006,5.141775006,0,0.691874429,1.20704501,1.898919439,0.222684379
Hilton Armstrong,armsthi01,2010,656,335,-5.595863739,0.556025381,-5.039838358,-0.395346168,-0.395346168,0,-5.247750931,0.730032566,-4.517718365,1.204491883
Carlos Arroyo,arroyca01,2010,3214,1700,-1.174087507,-0.411269566,-1.585357073,1.006322886,0.907750896,0.09857199,-1.790328963,-0.585751764,-2.376080727,-0.590648591
Metta World Peace,artesro01,2010,6678,3444,0.429244341,2.227076954,2.656321295,9.595723737,6.886649657,2.70907408,0.697085972,2.145861568,2.842947541,0.014736419
Darrell Arthur,arthuda01,2010,901,457,-3.825396555,-1.125393926,-4.950790481,-0.514348055,-0.514348055,0,-3.748812405,-1.328968756,-5.077781161,0.221100944
Chucky Atkins,atkinch01,2010,1201,644,-1.177469279,-2.486557932,-3.664027211,-0.301110357,-0.301110357,0,-1.5028503,-2.81587461,-4.31872491,0.246776918
D.J. Augustin,augusdj01,2010,2935,1545,-0.479985063,-0.346869835,-0.826854898,1.509494512,1.572807466,-0.063312954,-0.749760284,-0.599045592,-1.348805876,0.144623395
Kelenna Azubuike,azubuke01,2010,489,231,1.735214516,-0.858393032,0.876821484,0.425655544,0.425655544,0,1.317815505,-1.538856684,-0.221041179,-0.392620917
Renaldo Balkman,balkmre01,2010,182,91,-3.761465697,0.931832542,-2.829633155,-0.003787784,-0.003787784,0,-3.264093359,1.451945197,-1.812148161,2.299208959
Marcus Banks,banksma01,2010,479,244,-0.351389637,-0.783713582,-1.135103219,0.203225496,0.203225496,0,-0.241303653,-0.914230364,-1.155534017,1.022062569
Leandro Barbosa,barbole01,2010,2057,1036,-0.181137797,-1.062392767,-1.243530564,0.78921178,0.820905327,-0.031693546,0.269735174,-1.131777651,-0.862042477,0.604651268
J.J. Barea,bareajo01,2010,3209,1651,-0.56198926,-2.203181884,-2.765171145,-0.027312676,0.162090552,-0.189403228,-0.691114789,-2.515919005,-3.207033795,-0.054230792
Andrea Bargnani,bargnan01,2010,5491,2799,0.440301185,-2.265347851,-1.825046666,1.317315056,1.317315056,0,1.005905814,-1.884070531,-0.878164716,-0.253302264
Matt Barnes,barnema02,2010,4659,2423,1.555545849,0.559678566,2.115224415,6.064181063,5.029885603,1.03429546,1.302080722,0.612336393,1.914417115,0.114574407
Earl Barron,barroea01,2010,460,232,-1.034951892,-1.434833117,-2.469785009,0.032963369,0.032963369,0,-1.091470185,-0.863583767,-1.955053953,-0.579235637
Brandon Bass,bassbr01,2010,1333,690,-0.755052513,-0.706900837,-1.46195335,0.452015566,0.426606882,0.025408684,-1.141198085,-1.267268894,-2.408466979,-0.425474365
Shane Battier,battish01,2010,4294,2168,0.083122616,1.205962576,1.289085192,4.450473256,4.450473256,0,-0.205514518,1.121654648,0.91614013,-0.36167127
Tony Battie,battito01,2010,258,134,-5.382217162,-0.448908805,-5.831125967,-0.212295533,-0.212295533,0,-5.365668557,-0.414626215,-5.780294772,0.734743814
Nicolas Batum,batumni01,2010,1953,1057,2.811560143,-0.506925329,2.304634813,2.727998335,2.669720247,0.058278088,2.528785855,-0.495503974,2.033281881,0.050588275
Jerryd Bayless,bayleje01,2010,2715,1470,0.244187176,-2.059843746,-1.81565657,0.710717367,0.520870404,0.189846963,-0.041621133,-2.268273547,-2.30989468,0.517620939
Michael Beasley,beaslmi01,2010,4655,2463,-2.116978913,-0.343020729,-2.459999642,0.362698235,0.622436674,-0.259738439,-1.573876799,0.085132322,-1.488744476,0.118598065
Rodrigue Beaubois,beaubro01,2010,1422,731,1.783065064,-1.33899178,0.444073284,1.197710998,1.212781716,-0.015070719,1.77652937,-1.4733301,0.30319927,0.790564455
Marco Belinelli,belinma01,2010,2199,1121,0.268230706,-1.215243878,-0.947013172,1.032829699,1.032829699,0,0.37831533,-1.703229961,-1.32491463,0.149276223
Charlie Bell,bellch01,2010,3127,1619,-1.939455579,0.725245136,-1.214210443,1.262210461,1.314394126,-0.052183666,-2.162374936,0.397689948,-1.764684988,0.178706498
Raja Bell,bellra01,2010,348,180,1.323003732,-0.050900242,1.272103489,0.374090348,0.374090348,0,1.046746963,0.227508149,1.274255112,1.218637572
Jonathan Bender,bendejo01,2010,578,292,-2.967862739,-1.822657486,-4.790520225,-0.304687975,-0.304687975,0,-3.16708319,-3.455396227,-6.622479417,0.214462256
Mike Bibby,bibbymi01,2010,4696,2487,0.879254564,-0.217582061,0.661672503,4.337286841,3.895724623,0.441562218,0.982996513,-0.111487848,0.871508665,-0.025379704
Andris Biedrins,biedran01,2010,1614,763,-2.856254143,0.993470419,-1.862783725,0.345783916,0.345783916,0,-2.998087819,1.053055662,-1.945032156,0.110360438
Chauncey Billups,billuch01,2010,5393,2697,4.386367115,-1.366583976,3.01978314,7.941878552,7.338960622,0.60291793,4.445834198,-1.149694551,3.296139647,-0.18852
DeJuan Blair,blairde01,2010,3061,1585,-0.17498582,0.802977891,0.627992071,2.7622418,2.257480434,0.504761366,-0.022199884,1.132464826,1.110264941,0.420309027
Steve Blake,blakest01,2010,4069,2159,0.335779311,-1.003095653,-0.667316342,2.333877,2.333877,0,0.303149876,-1.111646524,-0.808496648,0.852492555
Andray Blatche,blatcan01,2010,4355,2256,-1.507880587,0.650311772,-0.857568815,2.177457919,2.177457919,0,-1.147459193,0.568660182,-0.578799011,-0.032388414
Keith Bogans,boganke01,2010,3118,1614,-1.676675695,0.631296542,-1.045379152,1.405488854,1.484640923,-0.079152069,-1.6593768,0.555287668,-1.104089132,0.486161607
Andrew Bogut,bogutan01,2010,4307,2229,-0.840356937,4.450482031,3.610125094,7.190148912,7.190148912,0,-0.802733138,3.919285997,3.116552859,-0.555622355
Matt Bonner,bonnema01,2010,2574,1334,1.60394842,0.076233461,1.680181882,3.017891248,3.04488455,-0.026993303,1.822841832,-0.100422748,1.722419084,0.265696855
Josh Boone,boonejo01,2010,2013,1045,-1.947537396,0.71421564,-1.233321757,0.805507395,0.805507395,0,-2.344703392,0.320520439,-2.024182953,-0.362558273
Carlos Boozer,boozeca01,2010,6078,3075,1.357550799,-0.815057177,0.542493622,5.164305222,5.053875055,0.110430168,1.56444683,-0.307308954,1.257137877,-0.136845411
Chris Bosh,boshch01,2010,4956,2526,2.463299654,-0.350230657,2.113068997,6.215812036,6.215812036,0,2.754176822,-0.241048038,2.513128784,-0.77196449
Ryan Bowen,bowenry01,2010,16,8,7.363390105,2.651074965,10.01446507,0.053043812,0.053043812,0,6.408408228,5.366376618,11.77478485,1.701490374
Earl Boykins,boykiea01,2010,2156,1117,-1.90476442,-3.540613551,-5.445377972,-1.525216361,-1.525216361,0,-2.212992381,-4.12408638,-6.33707876,-0.663753093
Elton Brand,brandel01,2010,4434,2297,-1.111738581,0.306034742,-0.80570384,2.274254459,2.274254459,0,-1.00671124,0.533790348,-0.472920892,-0.178106081
Corey Brewer,breweco01,2010,5026,2482,-0.992358075,0.50475491,-0.487603164,2.878233548,2.878233548,0,-0.915087518,0.994570091,0.079482573,0.43653761
Ronnie Brewer,brewero02,2010,3443,1742,-0.872226143,1.46424985,0.592023707,2.960327447,2.960327447,0,-0.914650759,1.510347205,0.595696446,-0.341806847
Primoz Brezec,brezepr01,2010,228,120,-4.477436893,-0.567181225,-5.044618118,-0.134426245,-0.195202975,0.06077673,-4.743889214,-0.221340435,-4.965229649,1.080162413
Jon Brockman,brockjo01,2010,1295,654,0.844165097,-1.683182614,-0.839017517,0.63986549,0.63986549,0,0.067079795,-1.143827322,-1.076747527,0.327759363
Aaron Brooks,brookaa01,2010,5782,2919,1.944771309,-1.361976216,0.582795093,4.961011406,4.961011406,0,2.179931646,-1.110705123,1.069226523,-0.046012943
Bobby Brown,brownbo02,2010,1013,519,-2.604139083,-2.799233599,-5.403372682,-0.714617519,-0.714617519,0,-2.160298158,-3.497704562,-5.658002721,1.745410289
Devin Brown,brownde02,2010,2073,1062,-2.110288629,-0.020567256,-2.130855885,0.339014091,0.327115854,0.011898237,-1.856018734,-0.589328733,-2.445347467,1.320754216
Derrick Brown,brownde04,2010,1021,536,-1.718406617,1.045866962,-0.672539655,0.568047659,0.548008337,0.020039322,-2.281017512,0.19084912,-2.090168392,0.098573034
Kwame Brown,brownkw01,2010,1231,660,-5.773543051,-0.570144103,-6.343687153,-1.222133273,-1.222133273,0,-5.491316524,-0.930533941,-6.421850465,0.932689953
Shannon Brown,brownsh01,2010,3936,2024,-1.332977275,-0.224293702,-1.557270976,1.222636368,1.277966947,-0.055330578,-1.407962903,-0.513613489,-1.921576392,0.186764593
Kobe Bryant,bryanko01,2010,7287,3758,4.248726021,1.093790366,5.342516387,15.70856927,10.7461469,4.962422364,4.474323474,1.242222573,5.716546048,0.046163
Chase Budinger,budinch01,2010,2947,1488,1.245331078,-1.858952251,-0.613621173,1.619170478,1.619170478,0,0.980752093,-2.377483388,-1.396731295,-0.15744997
Caron Butler,butleca01,2010,5766,2985,-1.25485075,0.705379752,-0.549470998,3.379800382,2.94598657,0.433813812,-0.949284708,1.170663482,0.221378774,0.294182065
Rasual Butler,butlera01,2010,5272,2702,-0.756300744,-0.80474092,-1.561041664,1.633641237,1.633641237,0,-0.864153001,-0.98370375,-1.847856751,-0.309810385
Andrew Bynum,bynuman01,2010,4925,2538,-0.380469296,1.276999926,0.89653063,4.705396187,4.017424143,0.687972044,-0.444456183,1.054983291,0.610527108,-0.501611086
Will Bynum,bynumwi01,2010,3109,1667,-0.241398843,-2.68575092,-2.927149763,-0.15075288,-0.15075288,0,-0.561820193,-2.301069234,-2.862889427,0.053831755
Jose Calderon,caldejo01,2010,3565,1817,3.353146042,-2.420488233,0.932657809,3.399754962,3.399754962,0,3.057212173,-2.074415537,0.982796635,-0.39021271
Marcus Camby,cambyma01,2010,4768,2492,-0.538026996,3.319225402,2.781198406,6.96349833,6.761522408,0.201975922,-0.563147437,3.382698935,2.819551497,-0.677266888
Brian Cardinal,cardibr01,2010,541,267,-1.743079943,-0.876587943,-2.619667886,0.017988802,0.017988802,0,-2.405485212,0.033050846,-2.372434366,1.239919993
Rodney Carney,carnero01,2010,1654,857,-0.409923421,-0.116973409,-0.52689683,0.976622628,0.976622628,0,-0.72057334,-0.660476054,-1.381049395,0.443241881
DeMarre Carroll,carrode01,2010,1568,795,-2.787398612,-0.26960452,-3.057003132,-0.125037232,-0.125037232,0,-3.199224731,-0.583422494,-3.782647225,0.387464016
Matt Carroll,carroma01,2010,245,126,-2.539549249,-0.916108039,-3.455657288,-0.044580615,-0.060169043,0.015588429,-2.402707992,-1.835028501,-4.237736493,1.091080659
Anthony Carter,cartean01,2010,1730,866,-1.801782191,-0.001999294,-1.803781485,0.418321716,0.42145392,-0.003132204,-1.870494651,-0.632291074,-2.502785725,0.034215273
Vince Carter,cartevi01,2010,5353,2790,2.284453097,1.751971711,4.036424808,9.71545355,8.168646071,1.54680748,2.318696873,1.908037639,4.226734512,0.18212585
Omri Casspi,casspom01,2010,3825,1931,-0.682336708,-0.173215766,-0.855552474,1.864496916,1.864496916,0,-0.733701416,-0.659609082,-1.393310498,-0.095839224
Mario Chalmers,chalmma01,2010,3663,1938,-1.308812226,0.798936254,-0.509875973,2.236186098,2.180542914,0.055643185,-0.952531038,1.155038768,0.20250773,0.781566643
Tyson Chandler,chandty01,2010,2323,1223,-3.539667371,0.748506658,-2.791160713,-0.028761841,0.000979025,-0.029740866,-3.624639542,0.330211826,-3.294427717,0.043635005
Wilson Chandler,chandwi01,2010,4596,2320,-0.55353578,0.021280503,-0.532255277,2.620744892,2.620744892,0,-0.821604896,0.100862645,-0.720742251,-0.154466113
Earl Clark,clarkea01,2010,794,396,-6.045773107,-1.290855891,-7.336628998,-0.921840075,-0.891831426,-0.030008649,-5.599054788,-2.828479604,-8.427534392,-0.576564798
Darren Collison,collida01,2010,4115,2109,0.40445723,-1.414404667,-1.009947437,1.86029069,1.86029069,0,0.298193711,-1.837947437,-1.539753726,-0.602942796
Jarron Collins,collija03,2010,744,376,-5.784868985,-0.385988734,-6.170857719,-0.666729151,-0.459527865,-0.207201286,-5.79762954,-0.595179792,-6.392809332,0.600065681
Jason Collins,collija04,2010,236,125,-6.007185444,-0.292394865,-6.29958031,-0.224240493,-0.255610168,0.031369675,-5.866016044,-0.108752874,-5.974768918,1.676790785
Mardy Collins,collima01,2010,917,470,-4.511694789,-0.002820936,-4.514515724,-0.425051192,-0.425051192,0,-4.700679291,-0.565712828,-5.266392119,0.428368633
Nick Collison,collini01,2010,3301,1686,-1.093565719,2.412588711,1.319022992,3.510132649,3.353027424,0.157105225,-1.335767515,2.307640212,0.971872697,0.238853332
Mike Conley,conlemi01,2010,5067,2569,0.688147862,-0.588155309,0.099992553,3.731162081,3.731162081,0,0.732698893,-0.290066887,0.442632006,-0.108907882
Will Conroy,conrowi01,2010,71,36,-6.427637438,-2.897212479,-9.324849917,-0.122840243,-0.122840243,0,-6.538286166,-4.083413655,-10.62169982,1.615750673
Brian Cook,cookbr01,2010,87,44,-7.849079926,-2.008375885,-9.857455811,-0.162310704,-0.162310704,0,-6.790535865,-4.444417557,-11.23495342,1.621905906
Daequan Cook,cookda02,2010,1305,691,-2.721803048,0.074876576,-2.646926472,0.036473181,0.036473181,0,-2.514469364,-0.772846394,-3.287315758,0.34819776
Jamal Crawford,crawfja01,2010,5306,2811,3.698500528,-2.406567608,1.29193292,5.765476766,5.63411961,0.131357156,3.738298052,-2.381104638,1.357193414,-0.086826624
Dante Cunningham,cunnida01,2010,1384,749,-1.235990163,0.283546387,-0.952443776,0.705590952,0.439741796,0.265849156,-1.327471035,0.463884629,-0.863586406,0.456912165
Eddy Curry,curryed01,2010,123,62,-11.16469588,-2.880190445,-14.04488633,-0.365938109,-0.365938109,0,-10.30486064,-4.54173901,-14.84659965,2.273578961
JamesOn Curry,curryja01,2010,1,0,-6.571634186,-4.250245085,-10.82187927,0,0,0,-7.928383931,-6.209344028,-14.13772796,-1.404680876
Stephen Curry,curryst01,2010,6127,2896,1.660505742,-0.237263253,1.423242489,6.170612819,6.170612819,0,1.85116287,0.258905399,2.110068269,0.068252654
Samuel Dalembert,dalemsa01,2010,4100,2124,-2.414004945,0.973934674,-1.440070271,1.413295642,1.413295642,0,-2.444394885,0.956265481,-1.488129404,-0.411909598
Erick Dampier,dampier01,2010,2715,1398,-2.476147347,1.570390159,-0.905757188,1.298187279,1.405458273,-0.107270993,-2.618139399,1.174906619,-1.44323278,-0.266764409
Marquis Daniels,daniema01,2010,1879,974,-1.543957684,-0.714386112,-2.258343796,0.245693671,0.220900123,0.024793548,-1.998666726,-1.251243302,-3.249910028,0.185828499
Baron Davis,davisba01,2010,4923,2523,2.149521196,0.705050063,2.854571259,7.233726243,7.233726243,0,2.20390223,1.343770879,3.547673109,0.251484458
Glen Davis,davisgl01,2010,2709,1416,-2.041075202,-0.986054344,-3.027129546,-0.154023803,-0.995369941,0.841346138,-2.107337298,-1.010113851,-3.117451149,0.223962394
Paul Davis,davispa01,2010,15,8,4.864665791,0.916478706,5.781144497,0.033934968,0.033934968,0,3.609658619,-2.144895825,1.464762793,-2.387778209
Ricky Davis,davisri01,2010,974,499,-2.760587831,-2.484417071,-5.245004901,-0.635637289,-0.635637289,0,-3.117011194,-3.207145536,-6.32415673,0.064207779
Austin Daye,dayeau01,2010,1706,915,-1.121870182,-1.222054376,-2.343924558,0.191154847,0.191154847,0,-1.397269343,-1.640051396,-3.037320739,0.785052541
Carlos Delfino,delfica01,2010,4812,2505,0.318027551,0.774577614,1.092605165,4.893999524,4.780944514,0.11305501,0.396416709,0.606179317,1.002596026,0.016860666
Luol Deng,denglu01,2010,5596,2854,0.233293436,1.109799968,1.343093404,5.940480115,5.270627118,0.669852997,0.019200045,0.975396351,0.994596395,-0.681613087
DeMar DeRozan,derozde01,2010,3265,1664,-1.448210447,-1.48284859,-2.931059037,-0.153849786,-0.153849786,0,-1.691204131,-1.239890183,-2.931094314,0.082799482
Yakhouba Diawara,diawaya01,2010,83,44,-5.111768966,-1.487778823,-6.599547789,-0.088489912,-0.088489912,0,-5.103524391,-1.505779219,-6.60930361,2.250842859
Boris Diaw,diawbo01,2010,5810,3058,0.035885366,0.436285864,0.47217123,5.003134996,4.961278817,0.041856179,-0.011985171,0.339808743,0.327823572,-0.25971661
Travis Diener,dienetr01,2010,112,58,-2.026303269,0.20136579,-1.824937479,0.024245461,0.03219722,-0.00795176,-2.046129536,-0.209717934,-2.25584747,0.712546542
DeSagana Diop,diopde01,2010,499,262,-3.461300466,0.617500289,-2.843800177,-0.01252195,-0.01252195,0,-3.923904924,-0.232072227,-4.155977151,-0.123863201
Keyon Dooling,doolike01,2010,1870,971,-0.030471821,-0.286584366,-0.317056187,1.21003993,1.21003993,0,-0.161636272,-0.656033198,-0.81766947,0.369880974
Joey Dorsey,dorsejo01,2010,210,106,-2.227967135,-0.958816862,-3.186783996,-0.024059212,-0.024059212,0,-2.588529173,-0.630498699,-3.219027871,1.054798934
Chris Douglas-Roberts,douglch01,2010,3332,1730,-3.265690191,-0.643961528,-3.909651719,-1.020281795,-1.020281795,0,-3.45689534,-1.137328868,-4.594224208,-0.300815438
Toney Douglas,douglto01,2010,2153,1087,1.201126205,-2.108098919,-0.906972715,1.026936254,1.026936254,0,1.042082227,-1.761622729,-0.719540503,0.44233735
Goran Dragic,dragigo01,2010,3350,1679,1.37711988,-1.280660338,0.096459541,2.464544409,1.962620639,0.501923771,1.582261942,-1.598238162,-0.01597622,0.17974683
Jared Dudley,dudleja01,2010,4720,2368,2.45145706,0.690831442,3.142288503,7.190648718,5.446174514,1.744474204,2.499818626,0.773361747,3.273180373,-0.120537918
Chris Duhon,duhonch01,2010,4104,2072,0.197329977,-2.082437699,-1.885107722,0.909448893,0.909448893,0,-0.033932991,-2.074526281,-2.108459272,-0.498802521
Tim Duncan,duncati01,2010,5425,2811,1.379286728,3.882004589,5.261291317,11.38429002,10.62744907,0.756840952,1.591069185,3.23742151,4.828490695,-0.951544913
Mike Dunleavy,dunlemi02,2010,3041,1486,-0.070963664,-0.651114826,-0.72207849,1.540262879,1.540262879,0,-0.243826491,-1.15150062,-1.395327111,0.169702971
Kevin Durant,duranke01,2010,6795,3470,5.202070753,1.802995972,7.005066725,17.19781413,16.77985266,0.417961474,5.060888579,1.385219442,6.446108021,-0.336266998
Wayne Ellington,ellinwa01,2010,2803,1384,-1.448461072,-1.997870471,-3.446331543,-0.489521737,-0.489521737,0,-1.941576233,-2.777846775,-4.719423008,-0.414209071
Monta Ellis,ellismo01,2010,5600,2647,-0.419676508,-1.200220559,-1.619897067,1.529051204,1.529051204,0,0.18521873,-0.687138829,-0.501920099,0.175157135
Francisco Elson,elsonfr01,2010,128,66,-4.381097109,-0.393057197,-4.774154306,-0.067787399,-0.067787399,0,-4.77263446,-1.238421429,-6.011055889,-0.188972907
Maurice Evans,evansma01,2010,2769,1465,-0.405576622,-1.560590329,-1.966166951,0.563413502,0.815060312,-0.25164681,-0.517359706,-1.690805136,-2.208164842,0.309620676
Reggie Evans,evansre01,2010,610,311,-4.024829931,0.355240636,-3.669589295,-0.147406563,-0.147406563,0,-3.498297784,0.173012963,-3.325284821,0.960669731
Tyreke Evans,evansty01,2010,5303,2677,0.52775246,0.465250877,0.993003338,5.115657879,5.115657879,0,0.592384358,0.813423432,1.40580779,0.063232045
Jordan Farmar,farmajo01,2010,3450,1775,-0.752349118,0.30163906,-0.450710057,2.106376446,1.664098437,0.442278009,-0.587203835,-0.096611048,-0.683814883,0.343698183
Raymond Felton,feltora01,2010,5269,2773,0.787079543,1.4900991,2.277178643,7.094980554,6.858929656,0.236050899,0.661544467,1.787460528,2.449004995,-0.250106823
Rudy Fernandez,fernaru01,2010,2882,1560,0.711708772,0.214492805,0.926201576,2.931388183,2.900533661,0.030854522,1.020633773,-0.174655019,0.845978755,0.123497633
Kyrylo Fesenko,fesenky01,2010,1164,589,-4.522286975,0.663996287,-3.858290688,-0.352466699,0.228533782,-0.581000481,-4.502927179,-0.004073907,-4.507001086,1.013833649
Michael Finley,finlemi01,2010,1572,817,-1.650726166,-1.647570611,-3.298296777,-0.221352696,-0.333798412,0.112445717,-1.995296653,-2.686309509,-4.681606162,0.407735194
Derek Fisher,fishede01,2010,5779,2981,-0.446932949,0.073132366,-0.373800583,3.678544282,2.383844644,1.294699638,-0.449213623,0.779315949,0.330102326,0.328442944
Jonny Flynn,flynnjo01,2010,4737,2339,-1.916103448,-3.092914781,-5.009018229,-2.687174665,-2.687174665,0,-1.764990881,-2.97505866,-4.74004954,-0.300927431
T.J. Ford,fordtj01,2010,2433,1189,-1.50573785,-0.717484551,-2.223222401,0.319634508,0.319634508,0,-1.663886377,-0.578938847,-2.242825224,0.022492679
Jeff Foster,fosteje01,2010,522,255,-1.672248541,-0.892155832,-2.564404373,0.024208424,0.024208424,0,-2.18621764,-0.643596993,-2.829814633,0.24198627
Randy Foye,foyera01,2010,3218,1667,-0.588418571,-2.20404906,-2.79246763,-0.036079333,-0.036079333,0,-0.731795471,-2.167709494,-2.899504965,-0.102737119
Channing Frye,fryech01,2010,5231,2625,1.380387958,0.489014263,1.869402221,6.227377142,5.369586437,0.857790704,2.080198464,1.213167634,3.293366098,0.367815586
Dan Gadzuric,gadzuda01,2010,744,390,-3.926404,1.916661241,-2.009742759,0.145463657,0.159863571,-0.014399914,-3.980265869,1.959320594,-2.020945276,0.927877622
Sundiata Gaines,gainesu01,2010,443,224,0.996382834,0.065243204,1.061626038,0.440142586,0.362605777,0.077536809,1.180834865,-0.771663634,0.409171231,0.775611736
Danilo Gallinari,gallida01,2010,5441,2747,0.863828103,0.677044019,1.540872122,6.014432004,6.014432004,0,0.907720011,0.493109804,1.400829815,0.010793355
Francisco Garcia,garcifr01,2010,1139,575,0.328334226,-1.109822663,-0.781488437,0.576195716,0.576195716,0,-0.239199586,-1.284899174,-1.52409876,-0.210768628
Kevin Garnett,garneke01,2010,5416,2826,-0.388237584,2.334545564,1.94630798,6.822650285,4.56385303,2.258797255,-0.383582286,2.171845294,1.788263008,-0.37101793
Marc Gasol,gasolma01,2010,4870,2469,1.3076016,1.717895388,3.025496988,7.253721815,7.253721815,0,1.203322078,1.936677745,3.139999823,-0.27840927
Pau Gasol,gasolpa01,2010,6423,3316,2.591960297,0.57874735,3.170707646,9.985283839,7.024585161,2.960698678,2.416871218,0.517511535,2.934382752,-1.172558065
Rudy Gay,gayru01,2010,6262,3175,1.032479791,0.305417568,1.337897358,6.610446382,6.610446382,0,1.160084675,0.549289858,1.709374534,-0.162694469
Alonzo Gee,geeal01,2010,351,182,0.187748632,0.276441621,0.464190254,0.296798198,0.296798198,0,-0.168509683,-0.405257199,-0.573766882,-0.522069565
Devean George,georgde01,2010,1610,761,0.479622586,-0.115169406,0.36445318,1.216756637,1.216756637,0,0.268217886,-0.162434122,0.105783764,0.58470177
Daniel Gibson,gibsoda01,2010,2102,1091,-0.157402528,-0.609608863,-0.767011391,1.099184338,1.187428452,-0.088244114,-0.272269123,-0.770242993,-1.042512116,-0.162158616
Taj Gibson,gibsota01,2010,4606,2349,-1.795744401,1.985279545,0.189535144,3.518354776,3.492134532,0.026220244,-1.911678703,1.933402917,0.021724214,-0.106511248
J.R. Giddens,giddejr01,2010,468,239,-3.366397608,-1.143067142,-4.509464749,-0.217909357,-0.217909357,0,-3.594808029,-1.864002089,-5.458810117,0.903035919
Trey Gilder,gildetr01,2010,10,5,3.093372997,5.634865467,8.728238463,0.029331923,0.029331923,0,3.236923173,5.982592157,9.21951533,0.163291124
Manu Ginobili,ginobma01,2010,4829,2502,5.732501882,1.116681385,6.849183266,12.3244807,10.41831132,1.906169377,5.790624154,1.393387206,7.18401136,0.081639394
Ryan Gomes,gomesry01,2010,4475,2210,-0.577958007,0.1981797,-0.379778307,2.66630359,2.66630359,0,-0.844521195,0.180738716,-0.663782479,-0.218500581
Drew Gooden,goodedr01,2010,3423,1755,-1.759926886,-2.479368041,-4.239294927,-1.331892705,-1.331892705,0,-1.646117154,-1.919022286,-3.56513944,-0.215227207
Ben Gordon,gordobe01,2010,3226,1730,0.892834181,-2.551006816,-1.658172636,0.9686298,0.9686298,0,0.828229948,-2.465327847,-1.637097899,0.480471784
Eric Gordon,gordoer01,2010,4349,2229,1.073656565,-1.812070251,-0.738413686,2.285259924,2.285259924,0,0.956589239,-1.49111625,-0.534527011,-0.097988172
Marcin Gortat,gortama01,2010,2495,1300,-2.325280642,1.539086206,-0.786194436,1.341379747,0.722962547,0.618417199,-2.59345639,1.205628261,-1.387828129,-0.21570928
Joey Graham,grahajo01,2010,1575,788,-2.360770648,-0.576349393,-2.937120041,-0.070797593,-0.302462792,0.231665199,-2.664149359,-1.164614182,-3.828763541,0.641751649
